,index,year_round,lat_round2,lon_round2,depth,D14C,associated_lat,associated_lon,ECCO_value
0,935,1950,-22.0,153.0,0.0,-52.2,-21.80089569091797,154.10000610351562,-51.394344329833984
1,936,1950,-21.23,200.18,18.0,-49.375,-21.80089569091797,200.89999389648438,-48.328460693359375
2,938,1950,-9.53,160.2,0.0,-53.9,-9.09841251373291,161.3000030517578,-55.417179107666016
3,939,1950,-9.0,160.0,14.0,-52.375,-9.09841251373291,161.3000030517578,-55.417179107666016
4,941,1950,-0.5,166.0,14.0,-60.33333333,-0.3001483976840973,164.89999389648438,-53.45517349243164
5,944,1951,-22.0,153.0,0.0,-55.4,-21.80089569091797,154.10000610351562,-52.08957290649414
6,945,1951,-21.23,200.18,18.0,-49.1,-21.80089569091797,200.89999389648438,-49.10469055175781
7,947,1951,-9.53,160.2,0.0,-56.4,-9.09841251373291,161.3000030517578,-56.11396026611328
8,948,1951,-9.0,160.0,14.0,-56.8,-9.09841251373291,161.3000030517578,-56.11396026611328
9,950,1951,-0.5,166.0,14.0,-60.44444444,-0.3001483976840973,164.89999389648438,-54.10659408569336
10,953,1952,-21.23,200.18,18.0,-50.0,-21.80089569091797,200.89999389648438,-49.336669921875
11,955,1952,-9.53,160.2,0.0,-55.0,-9.09841251373291,161.3000030517578,-56.31452941894531
12,956,1952,-9.0,160.0,14.0,-62.375,-9.09841251373291,161.3000030517578,-56.31452941894531
13,959,1952,-0.5,166.0,14.0,-57.42857143,-0.3001483976840973,164.89999389648438,-54.323612213134766
14,961,1953,-22.0,153.0,0.0,-56.5,-21.80089569091797,154.10000610351562,-52.55776596069336
15,962,1953,-21.23,200.18,18.0,-54.08333333,-21.80089569091797,200.89999389648438,-49.6347541809082
16,964,1953,-9.53,160.2,0.0,-57.6,-9.09841251373291,161.3000030517578,-56.536376953125
17,965,1953,-9.0,160.0,14.0,-61.0,-9.09841251373291,161.3000030517578,-56.536376953125
18,967,1953,-0.5,166.0,14.0,-55.28571429,-0.3001483976840973,164.89999389648438,-54.569602966308594
19,970,1954,-22.0,153.0,0.0,-52.1,-21.80089569091797,154.10000610351562,-52.64723205566406
20,971,1954,-21.23,200.18,18.0,-51.36363636,-21.80089569091797,200.89999389648438,-49.81452178955078
21,972,1954,-9.53,160.2,0.0,-54.5,-9.09841251373291,161.3000030517578,-56.67007064819336
22,973,1954,-9.0,160.0,14.0,-60.5,-9.09841251373291,161.3000030517578,-56.67007064819336
23,975,1954,-0.5,166.0,14.0,-58.27272727,-0.3001483976840973,164.89999389648438,-54.75813293457031
24,978,1955,-22.0,153.0,0.0,-53.0,-21.80089569091797,154.10000610351562,-51.5111083984375
25,979,1955,-21.23,200.18,18.0,-52.92857143,-21.80089569091797,200.89999389648438,-48.46990203857422
26,981,1955,-9.53,160.2,0.0,-54.2,-9.09841251373291,161.3000030517578,-55.81528091430664
27,982,1955,-9.0,160.0,14.0,-63.3,-9.09841251373291,161.3000030517578,-55.81528091430664
28,984,1955,-0.5,166.0,14.0,-54.81818182,-0.3001483976840973,164.89999389648438,-54.314910888671875
29,986,1955,12.45,282.58,0.0,-46.0,12.555688858032227,283.71820068359375,-43.107749938964844
30,987,1955,16.28,280.77,0.0,-76.0,15.638158798217773,280.1394348144531,-42.863548278808594
31,988,1955,16.72,289.37,0.0,-55.0,17.333242416381836,290.9427185058594,-42.980194091796875
32,989,1955,17.08,288.4,0.0,-52.0,17.36077308654785,287.3472900390625,-42.63168716430664
33,990,1955,17.18,291.08,0.0,-61.0,17.333242416381836,290.9427185058594,-42.980194091796875
34,991,1955,17.65,280.93,0.0,-53.0,17.42371940612793,280.1559753417969,-42.8980598449707
